FavouritesCount,FriendsCount,StatusesCount,isVerified,isTranslator,location,Lang,isRetweetedByMe
443,52,1465,false,false,Bourges/Moulins,fr,false
9341,263,105013,false,false,Birmingham,en,false
21758,907,4592,false,false,Essex / London,en,false
36874,1293,10894,false,false,.,en,false
269,10,626,false,false,null,en,false
1047,1238,9820,false,false,USA,en,false
2425,829,390814,false,false,125,en,false
880,201,7015,false,false,null,en,false
36859,1523,27283,false,false,Somewhere in time.......,en-gb,false
28,34,39,false,false,Broad Green- Croydon,en,false
16507,2674,36737,false,false,South Ockendon- Essex,en,false
12208,1110,5999,false,false,bristol,en,false
17212,2817,13395,false,false,England,en,false
7583,876,12879,false,false,Toronto- ON,en,false
23769,3571,35343,false,false,Manchester uk,en,false
8102,175,3581,false,false,null,en,false
29854,4943,19286,false,false,null,en,false
22657,2305,12820,false,false,null,en,false
1420,160,511,false,false,United Kingdom,en,false
5208,68,5542,false,false,null,en,false
4230,740,116586,false,false,Kuala Lumpur- Malaysia,en,false
348,6965,5393,false,false,United States,en,false
18935,2107,8280,false,false,null,en,false
273775,762,77360,false,false,The dirty south,en,false
5762,643,77182,false,false,null,en,false
0,171,469,false,false,null,en,false
1512,177,4851,false,false,city above toronto,en,false
55922,551,8991,false,false,Portugal,pt,false
194,243,1629,false,false,null,en,false
42579,22481,918327,false,false,Birmingham- England,en,false
5906,318,5681,false,false,NETHERLANDSSSS,nl,false
5906,318,5685,false,false,NETHERLANDSSSS,nl,false
3131,373,7410,false,false,null,en,false
17164,1443,28369,false,false,Albert Tatlock's box room ,en,false
29171,920,6245,false,false,Melbourne,en,false
6439,839,71043,false,false,null,fr,false
3,0,26165,false,false,Club Cheezy,en,false
3007,208,28852,false,false,null,en,false
2016,792,368,false,false,Monte Grande- Argentina,en,false
12258,447,3305,false,false,null,en-gb,false
5281,1579,2331,false,false,Liverpool- England,en,false
